id,title,room_name,price,original_price,discounted_price,price_currency,image_src,image_local_path,image_public_path,rating,reviews_count,remaining_rooms,prepayment_policy,free_cancellation,no_prepayment,bed_info,availability_text,link
"1","TTR Studio Apart' Hotel Dalat","Studio Gia Đình","585353","","585353","VND","/hotels/dalat/810886880.webp","/hotels/dalat/810886880.webp","/hotels/dalat/810886880.webp","","77","","","false","false","1 studio nguyên căn • 1 phòng tắm • 1 phòng bếp • 45 m²2 giường đôi","Studio Gia Đình1 studio nguyên căn • 1 phòng tắm • 1 phòng bếp • 45 m²2 giường đôi1 đêm, 2 người lớnVND 585.353Giá là VND 585.353Đã bao gồm thuế và phíXem chỗ trống",""
"2","TTR Skypool Boutique Hotel","Phòng Có Giường Cỡ Queen","722499","722499","722499","VND","/hotels/dalat/845558402.webp","/hotels/dalat/845558402.webp","/hotels/dalat/845558402.webp","","66","4","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","false","true","1 giường đôi lớn","Phòng Có Giường Cỡ Queen1 giường đôi lớnKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 4 với giá này1 đêm, 2 người lớnVND 722.499VND 260.100Giá gốc là VND 722.499. Giá hiện tại là VND 260.100.Đã bao gồm thuế và phíXem chỗ trống",""
"3","Grand Center Da Lat by Lilly Hotel","Phòng Tiêu Chuẩn Giường Đôi","500000","500000","500000","VND","/hotels/dalat/846827523.webp","/hotels/dalat/846827523.webp","/hotels/dalat/846827523.webp","","35","6","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","false","true","1 giường đôi","Phòng Tiêu Chuẩn Giường Đôi1 giường đôiKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 6 với giá này1 đêm, 2 người lớnVND 500.000VND 166.000Giá gốc là VND 500.000. Giá hiện tại là VND 166.000.Đã bao gồm thuế và phíXem chỗ trống",""
"4","TALA Dalat Hotel","Phòng Superior Giường Đôi","280822","","280822","VND","/hotels/dalat/535449758.webp","/hotels/dalat/535449758.webp","/hotels/dalat/535449758.webp","","386","","","false","false","1 giường đôi lớn","Phòng Superior Giường Đôi1 giường đôi lớn1 đêm, 2 người lớnVND 280.822Giá là VND 280.822+VND 37.671 thuế và phíXem chỗ trống",""
"5","An Nam Boutique Da Lat","Phòng Giường Đôi","815000","815000","815000","VND","/hotels/dalat/849703045.webp","/hotels/dalat/849703045.webp","/hotels/dalat/849703045.webp","","16","2","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi lớn","Phòng Giường Đôi1 giường đôi lớnMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 2 với giá này1 đêm, 2 người lớnVND 815.000VND 286.880Giá gốc là VND 815.000. Giá hiện tại là VND 286.880.Đã bao gồm thuế và phíXem chỗ trống",""
"6","S79 Hoa Dang Hotel","Phòng Tiêu Chuẩn Giường Đôi","548999","548999","548999","VND","/hotels/dalat/551889220.webp","/hotels/dalat/551889220.webp","/hotels/dalat/551889220.webp","","169","1","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi lớn","Phòng Tiêu Chuẩn Giường Đôi1 giường đôi lớnMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 1 với giá này1 đêm, 2 người lớnVND 548.999VND 227.286Giá gốc là VND 548.999. Giá hiện tại là VND 227.286.Đã bao gồm thuế và phíXem chỗ trống",""
"7","AN TÂM House Đà Lạt","Phòng Tiêu Chuẩn Giường Đôi","477000","477000","477000","VND","/hotels/dalat/838688836.webp","/hotels/dalat/838688836.webp","/hotels/dalat/838688836.webp","","68","2","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi","Phòng Tiêu Chuẩn Giường Đôi1 giường đôiMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 2 với giá này1 đêm, 2 người lớnVND 477.000VND 324.360Giá gốc là VND 477.000. Giá hiện tại là VND 324.360.Đã bao gồm thuế và phíXem chỗ trống",""
"8","Bazan Dalat Hotel","Phòng Deluxe Giường Đôi","590658","590658","590658","VND","/hotels/dalat/775145560.webp","/hotels/dalat/775145560.webp","/hotels/dalat/775145560.webp","","50","","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi lớn","Phòng Deluxe Giường Đôi1 giường đôi lớnMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉ1 đêm, 2 người lớnVND 590.658VND 351.441Giá gốc là VND 590.658. Giá hiện tại là VND 351.441.Đã bao gồm thuế và phíXem chỗ trống",""
"9","TP Dalat Hotel","Phòng Superior 2 Giường Đơn","1197000","1197000","1197000","VND","/hotels/dalat/616402007.webp","/hotels/dalat/616402007.webp","/hotels/dalat/616402007.webp","","202","1","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","2 giường đơn","Phòng Superior 2 Giường Đơn2 giường đơnBữa sáng miễn phí cho thành viên GeniusMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 1 với giá này1 đêm, 2 người lớnVND 1.197.000VND 498.551Giá gốc là VND 1.197.000. Giá hiện tại là VND 498.551.Đã bao gồm thuế và phíXem chỗ trống",""
"10","Homestay Vườn Tùng","Phòng Giường Đôi Nhìn Ra Vườn","630000","630000","630000","VND","/hotels/dalat/353707825.webp","/hotels/dalat/353707825.webp","/hotels/dalat/353707825.webp","","43","3","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","false","true","1 giường đôi lớn","Phòng Giường Đôi Nhìn Ra Vườn1 giường đôi lớnKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 3 với giá này1 đêm, 2 người lớnVND 630.000VND 245.763Giá gốc là VND 630.000. Giá hiện tại là VND 245.763.Đã bao gồm thuế và phíXem chỗ trống",""
"11","1 House 2","Phòng Tiêu Chuẩn Có Giường Cỡ King","270000","270000","270000","VND","/hotels/dalat/831547062.webp","/hotels/dalat/831547062.webp","/hotels/dalat/831547062.webp","","30","3","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","false","true","1 giường đôi cực lớn","Phòng Tiêu Chuẩn Có Giường Cỡ King1 giường đôi cực lớnKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 3 với giá này1 đêm, 2 người lớnVND 270.000VND 243.000Giá gốc là VND 270.000. Giá hiện tại là VND 243.000.Đã bao gồm thuế và phíXem chỗ trống",""
"12","La Cle' Đà Lạt","Phòng Superior Giường Đôi/2 Giường Đơn","590000","590000","590000","VND","/hotels/dalat/649496618.webp","/hotels/dalat/649496618.webp","/hotels/dalat/649496618.webp","","119","1","","false","false","2 giường đơn","Phòng Superior Giường Đôi/2 Giường Đơn2 giường đơnChúng tôi còn 1 với giá này1 đêm, 2 người lớnVND 590.000VND 451.350Giá gốc là VND 590.000. Giá hiện tại là VND 451.350.+VND 41.484 thuế và phíXem chỗ trống",""
"13","Môn Bạc Home","Phòng Tiêu Chuẩn Có Giường Cỡ King","280000","280000","280000","VND","/hotels/dalat/500400913.webp","/hotels/dalat/500400913.webp","/hotels/dalat/500400913.webp","","270","2","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi lớn","Phòng Tiêu Chuẩn Có Giường Cỡ King1 giường đôi lớnMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 2 với giá này1 đêm, 2 người lớnVND 280.000VND 235.200Giá gốc là VND 280.000. Giá hiện tại là VND 235.200.+VND 21.618 thuế và phíXem chỗ trống",""
"14","Le Tuan Minh Hotel","Phòng Tiêu Chuẩn Có Giường Cỡ Queen","360000","360000","360000","VND","/hotels/dalat/699440740.webp","/hotels/dalat/699440740.webp","/hotels/dalat/699440740.webp","","589","2","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi","Phòng Tiêu Chuẩn Có Giường Cỡ Queen1 giường đôiMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 2 với giá này1 đêm, 2 người lớnVND 360.000VND 239.040Giá gốc là VND 360.000. Giá hiện tại là VND 239.040.Đã bao gồm thuế và phíXem chỗ trống",""
"15","Dalat Family House","Căn Hộ Nhìn Ra Vườn","540000","540000","540000","VND","/hotels/dalat/358852760.webp","/hotels/dalat/358852760.webp","/hotels/dalat/358852760.webp","","111","3","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 căn hộ nguyên căn • 2 phòng ngủ • 1 phòng khách • 1 phòng tắm • 1 phòng bếp • 40 m²3 giường đôi","Căn Hộ Nhìn Ra Vườn1 căn hộ nguyên căn • 2 phòng ngủ • 1 phòng khách • 1 phòng tắm • 1 phòng bếp • 40 m²3 giường đôiMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 3 với giá này1 đêm, 2 người lớnVND 540.000VND 459.000Giá gốc là VND 540.000. Giá hiện tại là VND 459.000.Đã bao gồm thuế và phíXem chỗ trống",""
"16","An Garden Dalat","Phòng Deluxe Có Giường Cỡ King","380400","","380400","VND","/hotels/dalat/185191579.webp","/hotels/dalat/185191579.webp","/hotels/dalat/185191579.webp","","303","","","false","false","1 giường đôi lớn","Phòng Deluxe Có Giường Cỡ King1 giường đôi lớn1 đêm, 2 người lớnVND 380.400Giá là VND 380.400Đã bao gồm thuế và phíXem chỗ trống",""
"17","Phu Tho Da Lat Hotel","Phòng Tiêu chuẩn Giường Đôi Không có Cửa sổ","234900","234900","234900","VND","/hotels/dalat/771574108.webp","/hotels/dalat/771574108.webp","/hotels/dalat/771574108.webp","","152","7","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi","Phòng Tiêu chuẩn Giường Đôi Không có Cửa sổ1 giường đôiMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 7 với giá này1 đêm, 2 người lớnVND 234.900VND 199.665Giá gốc là VND 234.900. Giá hiện tại là VND 199.665.Đã bao gồm thuế và phíXem chỗ trống",""
"18","AMIGO Luxury Palace- Cạnh Chợ Đêm Đà Lạt","Phòng Tiêu Chuẩn Giường Đôi","266070","","266070","VND","/hotels/dalat/683731842.webp","/hotels/dalat/683731842.webp","/hotels/dalat/683731842.webp","","153","","","false","false","1 giường đôi","Phòng Tiêu Chuẩn Giường Đôi1 giường đôi1 đêm, 2 người lớnVND 266.070Giá là VND 266.070Đã bao gồm thuế và phíXem chỗ trống",""
"19","PINE VIEW Hotel Dalat","Phòng Superior Giường Đôi","460485","","460485","VND","/hotels/dalat/521586984.webp","/hotels/dalat/521586984.webp","/hotels/dalat/521586984.webp","","328","","","false","false","1 giường đôi lớn","Phòng Superior Giường Đôi1 giường đôi lớn1 đêm, 2 người lớnVND 460.485Giá là VND 460.485Đã bao gồm thuế và phíXem chỗ trống",""
"20","Green Meadow Serenity - Center Hotel","Phòng Tiêu Chuẩn Giường Đôi","552420","552420","552420","VND","/hotels/dalat/843440431.webp","/hotels/dalat/843440431.webp","/hotels/dalat/843440431.webp","","14","1","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi","Phòng Tiêu Chuẩn Giường Đôi1 giường đôiMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 1 với giá này1 đêm, 2 người lớnVND 552.420VND 291.125Giá gốc là VND 552.420. Giá hiện tại là VND 291.125.Đã bao gồm thuế và phíXem chỗ trống",""
"21","Carnival Hotel - Đà Lạt","Phòng Tiêu Chuẩn Giường Đôi","550000","550000","550000","VND","/hotels/dalat/463125259.webp","/hotels/dalat/463125259.webp","/hotels/dalat/463125259.webp","","377","3","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi lớn","Phòng Tiêu Chuẩn Giường Đôi1 giường đôi lớnMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 3 với giá này1 đêm, 2 người lớnVND 550.000VND 374.000Giá gốc là VND 550.000. Giá hiện tại là VND 374.000.Đã bao gồm thuế và phíXem chỗ trống",""
"22","Nature Hotel Da Lat - Le Dai Hanh","Phòng Tiêu Chuẩn Có Giường Cỡ King","1164000","1164000","1164000","VND","/hotels/dalat/692371122.webp","/hotels/dalat/692371122.webp","/hotels/dalat/692371122.webp","","485","3","","false","false","1 giường đôi cực lớn","Phòng Tiêu Chuẩn Có Giường Cỡ King1 giường đôi cực lớnChúng tôi còn 3 với giá này1 đêm, 2 người lớnVND 1.164.000VND 481.198Giá gốc là VND 1.164.000. Giá hiện tại là VND 481.198.Đã bao gồm thuế và phíXem chỗ trống",""
"23","Torino Hotel Dalat","Phòng Có Giường Cỡ King","450000","450000","450000","VND","/hotels/dalat/477503146.webp","/hotels/dalat/477503146.webp","/hotels/dalat/477503146.webp","","552","6","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","true","true","1 giường đôi lớn","Phòng Có Giường Cỡ King1 giường đôi lớnMiễn phí hủyKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 6 với giá này1 đêm, 2 người lớnVND 450.000VND 306.000Giá gốc là VND 450.000. Giá hiện tại là VND 306.000.Đã bao gồm thuế và phíXem chỗ trống",""
"24","Happy Home Da Lat","Phòng Giường Đôi","1076240","1076240","1076240","VND","/hotels/dalat/773687784.webp","/hotels/dalat/773687784.webp","/hotels/dalat/773687784.webp","","51","2","Không cần thanh toán trước – thanh toán tại chỗ nghỉ","false","true","1 giường đôi lớn","Phòng Giường Đôi1 giường đôi lớnKhông cần thanh toán trước – thanh toán tại chỗ nghỉChúng tôi còn 2 với giá này1 đêm, 2 người lớnVND 1.076.240VND 387.446Giá gốc là VND 1.076.240. Giá hiện tại là VND 387.446.Đã bao gồm thuế và phíXem chỗ trống",""
"25","Spring Hotel","Phòng Có Giường Cỡ Queen Với Ban Công","500000","500000","500000","VND","/hotels/dalat/176861670.webp","/hotels/dalat/176861670.webp","/hotels/dalat/176861670.webp","","55","4","","false","false","1 giường đôi lớn","Phòng Có Giường Cỡ Queen Với Ban Công1 giường đôi lớnChúng tôi còn 4 với giá này1 đêm, 2 người lớnVND 500.000VND 340.000Giá gốc là VND 500.000. Giá hiện tại là VND 340.000.Đã bao gồm thuế và phíXem chỗ trống",""
